A/Z_1MHz,Θ/Z_1MHz,A/Z_500kHz,Θ/Z_500kHz,A/Z_100kHz,Θ/Z_100kHz,A/Z_50kHz,Θ/Z_50kHz,A/Z_10kHz,Θ/Z_10kHz,label
0.0005477322429815992,-0.0120032392215037,0.00028120566230322466,-0.011785380691464325,5.9255627407237276e-05,-0.01157870190030641,3.196442519042716e-05,-0.011592344482429337,8.235347304426544e-06,-0.012622125702251874,1
0.0005477873352705292,-0.011971718805936117,0.00028105511352103556,-0.011664996103133077,6.250912121376291e-05,-0.011450227717966697,3.165672605159082e-05,-0.011585952677993559,8.19393038490661e-06,-0.012626834239222322,1
0.0005489316416551957,-0.01197983500406616,0.00028053298369557503,-0.011662803229946409,6.199419559629575e-05,-0.011389877332468783,3.11137834380169e-05,-0.011450899452349741,8.191526245530495e-06,-0.01264840788519268,1
0.0005487369773123215,-0.01193832330153778,0.0002828437685531812,-0.011716449802318098,6.266195483522803e-05,-0.011537028810763746,3.196454469176884e-05,-0.012302997940971002,8.224840402585441e-06,-0.012703667167448782,1
0.0005498428357280339,-0.011995022324348075,0.000281269033326061,-0.011653038974790746,5.992037609052815e-05,-0.011526504333437196,3.215779980547689e-05,-0.011588925246903902,8.214221150800834e-06,-0.012516219239702467,1
0.0005508012175381599,-0.011981874572129729,0.00027844573056708214,-0.011688876997773538,5.592257294742995e-05,-0.011682788212459003,3.133471127684394e-05,-0.011479553731205336,8.22713153425103e-06,-0.012622640377916662,1
0.0005493706890634813,-0.011997312728640406,0.00028150029902580386,-0.011666588081307123,5.0043771284992134e-05,-0.01154888486678827,3.177198969359737e-05,-0.011577677165128648,8.213374743372798e-06,-0.012615921236156399,1
0.0005489304188772258,-0.011948765464019377,0.00028159638773019805,-0.011790911771924465,5.8716877457125166e-05,-0.011697313204990735,3.167753193921924e-05,-0.011583571161183305,8.214647638751946e-06,-0.012564245957167744,1
0.0005479951093672309,-0.011952450918960836,0.0002791462190735251,-0.011755954670861902,6.448134529855195e-05,-0.011506712750816496,3.173192101406995e-05,-0.01168519569217558,8.228697470022697e-06,-0.0126151578038914,1
0.0005480193769743508,-0.012022675616938072,0.0002850739873030321,-0.011709143907529007,5.526206572435516e-05,-0.011559994280674333,3.168402890775896e-05,-0.011911786760467953,8.21414790229937e-06,-0.012621583234836413,1
0.00054940513175841,-0.011937954114215894,0.00027898166012870493,-0.011690720127118961,6.043938351156732e-05,-0.011545458513502686,3.138985950048931e-05,-0.011679324001492956,8.186086236762598e-06,-0.012514765655763151,1
0.0005493308384894674,-0.011961107775805382,0.0002819021279100787,-0.011764605942717494,6.176926812961236e-05,-0.011477392928991558,3.204146203123934e-05,-0.011554011839028282,8.209343944893314e-06,-0.012605714994087759,1
0.0005499835914320438,-0.011993147895326949,0.00028061286796590343,-0.011734781022788977,5.864750231442398e-05,-0.011700940900108186,3.210956972989042e-05,-0.011450041963636644,8.218289606279824e-06,-0.01253332750433338,1
0.000550309094530485,-0.01196697703019201,0.00028072193413637475,-0.011739939353253076,6.404069606921249e-05,-0.011472529712398958,3.1681778705083444e-05,-0.011744631369802385,8.222941589638577e-06,-0.012549801271280235,1
0.0005505601914161247,-0.011979183032851134,0.0002793629829046418,-0.011710873476929175,5.860458289690159e-05,-0.011518156515695576,3.2346388521193114e-05,-0.011748874949264672,8.249362365742174e-06,-0.012480585069260045,1
0.000547369414245791,-0.011954496313898425,0.00028131047479843836,-0.01161966856552614,5.968088047145666e-05,-0.011588963143358489,3.225302989099247e-05,-0.012062537614935226,8.24970315691234e-06,-0.012560874737568251,1
0.0005495120537381289,-0.01197382449117481,0.0002819772095304123,-0.011706103956712432,5.9029546487457866e-05,-0.011397714332731226,3.10105956721096e-05,-0.011759128103181565,8.218346104115834e-06,-0.012577649061376291,1
0.0005494494837600672,-0.011931792602495437,0.000278796145208482,-0.01168293892940497,5.806906270811244e-05,-0.011549103105938272,3.142505787096459e-05,-0.011719892710598466,8.257683299700024e-06,-0.012624731888679346,1
0.0005501625150635803,-0.012006318191918492,0.00028474980241773593,-0.011748115603989967,5.913628242504458e-05,-0.011488474396749599,3.171839208743349e-05,-0.011528692195197716,8.243625798947275e-06,-0.012590391982701876,1
