Amp_1MHz,Phase_1MHz,Amp_500kHz,Phase_500kHz,Amp_100kHz,Phase_100kHz,Amp_50kHz,Phase_50kHz,Amp_10kHz,Phase_10kHz,Label
1832.564022,-83.30027717,3564.310731,-85.03435756,17006.74807,-87.00654225,31514.38412,-84.82056548,120869.8467,-79.29609517,0
1825.643153,-83.53494366,3566.531793,-85.42463787,16767.38482,-86.41428627,31606.54425,-84.93438683,122060.6487,-79.30202802,0
1816.708383,-83.61858417,3561.407989,-85.53079248,17385.0003,-86.96716182,31309.60105,-85.40620051,121279.1868,-79.58075846,0
1826.473161,-83.31416577,3549.008285,-85.08865258,16791.38482,-84.68980713,31472.69227,-85.22230034,120948.3037,-79.24573704,0
1814.769294,-83.38052449,3558.400747,-85.64824194,16726.10139,-85.9421709,31777.70134,-84.93047615,120857.6659,-79.344546,0
1818.879115,-83.72411922,3552.702864,-85.49902439,16687.79622,-85.77680423,31555.31477,-84.90000855,121477.1455,-79.51954297,0
1820.771338,-83.38065564,3552.830466,-85.10010562,16703.84829,-85.18412144,31472.57056,-84.71697248,121396.7408,-79.52997385,0
1829.34186,-83.30642713,3549.55663,-85.28606778,16064.76236,-85.51275728,31537.20174,-85.23286594,122109.8506,-79.20707803,0
1817.516891,-83.4286101,3566.559316,-85.32399204,16977.40544,-84.81111459,31470.44786,-85.34702964,121665.7085,-79.53483551,0
1817.123942,-83.46806264,3563.044987,-85.2118557,16550.78383,-86.92655941,31780.6093,-84.84723177,120649.1902,-79.34838255,0
1820.626005,-83.56873901,3557.633036,-85.30378073,17475.10404,-86.35722575,31602.70162,-85.33234121,121071.6315,-79.17319459,0
1817.907881,-83.67204977,3555.639239,-85.51212704,16576.72318,-85.12781678,31445.13183,-84.84310152,121965.6712,-78.96320291,0
1826.519438,-83.30872688,3561.842606,-85.04399159,16811.81802,-88.37033662,31494.93317,-84.74820813,121075.7874,-79.02208731,0
1815.904484,-83.48812383,3572.770521,-85.0350937,16729.29004,-87.19575303,31400.15865,-84.96437194,122315.3301,-79.20513146,0
1815.579588,-83.47589124,3542.211206,-85.2386708,16316.37617,-85.29495654,31636.03755,-85.20092844,120824.6819,-79.78247029,0
1818.993437,-83.15794986,3565.809928,-85.26779762,17082.25494,-86.28907396,31250.53835,-85.08503537,121703.9088,-79.58651733,0
1818.703778,-83.32745174,3556.666263,-84.85062024,17514.46977,-84.85413151,31221.26677,-84.92445431,120949.4298,-79.55270287,0
1830.381865,-83.37817457,3543.396844,-85.32626393,16605.54293,-84.98272434,31672.71139,-85.09401721,121134.4521,-79.02465966,0
1825.666923,-83.41516661,3542.791118,-85.32319925,16470.28077,-87.01633758,31775.04212,-84.45792106,121980.6727,-79.58898083,0
1821.520798,-83.19234866,3553.028261,-85.20973487,16444.45472,-85.39052958,31526.76002,-85.38497183,121335.7378,-79.32858968,0
1815.20452,-83.16007335,3564.250283,-85.00849244,15716.62181,-84.58505604,31474.36203,-85.38845961,121830.6379,-79.39702864,0
1825.16153,-83.2878335,3565.97035,-84.98641099,16528.35543,-85.65315387,31554.60645,-85.3809672,121651.6453,-79.64554788,0
1816.287968,-83.34399031,3552.768615,-85.32301664,16731.37124,-86.79281443,31362.39565,-85.26837241,121799.2836,-79.32963135,0
1813.668318,-83.77684533,3572.154324,-85.2199439,17111.90219,-84.91159338,31482.98369,-85.73040588,120935.2369,-79.32567995,0
1826.81478,-83.41813225,3576.17777,-85.52656272,17067.06273,-85.15876019,31463.48221,-85.28002113,121286.0082,-79.72246637,0
1822.624312,-83.45917751,3566.000317,-85.3327263,16415.35228,-85.25279186,31550.08185,-85.28689175,121625.8416,-79.12787545,0
1825.529523,-83.42294598,3556.213428,-85.42878281,16481.48034,-85.07718928,31228.15459,-85.07415373,120955.8193,-79.92174707,0
1822.632899,-83.28564386,3573.218735,-85.45906285,17144.63923,-88.83643205,31383.02946,-84.97552121,122260.0413,-79.56293875,0
1825.221507,-83.8811567,3569.561387,-84.97026456,16530.41453,-84.91002545,31582.2709,-85.45751608,120993.624,-79.18806425,0
1817.967787,-83.53019894,3570.671522,-85.42005491,16371.07135,-83.97066427,31358.18982,-84.83532736,121244.7389,-79.70746948,0
1816.124275,-83.39449389,3555.568616,-85.37265873,17271.81107,-85.36015477,31311.36213,-84.57305622,120872.9503,-79.33720166,0
1824.378513,-83.51362965,3533.981817,-85.20948623,17103.77218,-85.6072649,31758.67763,-85.15752785,120274.7944,-79.73220221,0
1817.234725,-83.6672587,3583.054014,-85.04003708,16621.4358,-85.09694539,31463.36569,-84.6392996,122348.1367,-79.44354019,0
